id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp4_1,xp4_rampup,1,yes,yes,12,3,100,0,1000000000,10000000,NA,"Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-0.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp4_2,xp4_sat,1,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-0.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_3,xp4_byte_0,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-0.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_4,xp4_byte_4,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-4.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_5,xp4_byte_16,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-16.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_6,xp4_byte_64,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-64.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_7,xp4_byte_256,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-256.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp4_8,xp4_byte_1024,5,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp4_2,0.8","ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-byte-array-1024.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
