id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp0_1,xp0_rampup,1,yes,yes,12,3,100,0,800000000,150000000,NA,"ApproximatedZipf(800000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,xp0/cassandra-se.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp0_2,xp0_lzipf_base_sat,5,no,yes,12,3,100,0,NA,150000000,NA,"ApproximatedZipf(800000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-base:latest,xp0/cassandra-base.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp0_3,xp0_lzipf_se_sat,5,no,yes,12,3,100,0,NA,150000000,NA,"ApproximatedZipf(800000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,xp0/cassandra-se.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp0_4,xp0_lzipf_base_nom,5,no,yes,12,3,100,0,NA,150000000,"infer=MeanRate,xp0_2,0.8","ApproximatedZipf(800000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-base:latest,xp0/cassandra-base.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp0_5,xp0_lzipf_se_nom,5,no,yes,12,3,100,0,NA,150000000,"infer=MeanRate,xp0_2,0.8","ApproximatedZipf(800000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,xp0/cassandra-se.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
