id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp2_1,xp2_rampup,1,yes,yes,12,3,100,0,1000000000,10000000,NA,"Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp2_2,xp2_szipf_base_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.33)",16,FixedValue(1024),adugois1/apache-cassandra-base:latest,cassandra-base.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp2_3,xp2_szipf_se_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.33)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp2_4,xp2_mzipf_base_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.66)",16,FixedValue(1024),adugois1/apache-cassandra-base:latest,cassandra-base.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp2_5,xp2_mzipf_se_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.66)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp2_6,xp2_lzipf_base_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-base:latest,cassandra-base.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp2_7,xp2_lzipf_se_sat,5,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.99)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
