id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp5_1,xp5_rampup,1,yes,yes,12,3,100,0,800000000,10000000,NA,"Uniform(1,800000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp5_2,xp5_fixed_ds_sat,1,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(800000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp5_3,xp5_fixed_ds_nom,5,no,yes,12,3,100,0,NA,150000000,"infer=MeanRate,xp5_2,0.8","ApproximatedZipf(800000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp5_4,xp5_fixed_primary_nom,5,no,yes,12,3,100,0,NA,150000000,"infer=MeanRate,xp5_2,0.8","ApproximatedZipf(800000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-primary-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp5_5,xp5_fixed_paprimary_nom,5,no,yes,12,3,100,0,NA,150000000,"infer=MeanRate,xp5_2,0.8","ApproximatedZipf(800000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-paprimary-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
