id,name,repeat,hosts,rf,read_ratio,write_ratio,keys,ops,duration,rampup_rate_limit,main_rate_limit,warmup_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,cycle_per_stride
xp2_1,xp2_fifo_4,10,15,3,100,0,3000000,50000000,NA,fixed=1000,NA,fixed=10000,"Uniform(1,3000000)",16,"FixedValues(1000,1000,1000,1000000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-fifo-4.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_2,xp2_rml_4,10,15,3,100,0,3000000,50000000,NA,fixed=1000,NA,fixed=10000,"Uniform(1,3000000)",16,"FixedValues(1000,1000,1000,1000000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-rml-4.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_3,xp2_fifo_16,10,15,3,100,0,3000000,50000000,NA,fixed=1000,NA,fixed=10000,"Uniform(1,3000000)",16,"FixedValues(1000,1000,1000,1000000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-fifo-16.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_4,xp2_rml_16,10,15,3,100,0,3000000,50000000,NA,fixed=1000,NA,fixed=10000,"Uniform(1,3000000)",16,"FixedValues(1000,1000,1000,1000000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-rml-16.yaml,without-token-map.conf,cql.yaml,5,360,100
