id,name,repeat,hosts,rf,read_ratio,write_ratio,keys,ops,duration,rampup_rate_limit,main_rate_limit,warmup_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,cycle_per_stride
xp2_1,xp2_unif_fifo,10,15,3,100,0,6000000,100000000,NA,fixed=3000,NA,fixed=10000,"Uniform(1,6000000)",16,"FixedValues(1000,1000,1000,500000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_2,xp2_unif_rml,10,15,3,100,0,6000000,100000000,NA,fixed=3000,NA,fixed=10000,"Uniform(1,6000000)",16,"FixedValues(1000,1000,1000,500000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-rml.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_3,xp2_lzipf_fifo,10,15,3,100,0,6000000,100000000,NA,fixed=3000,NA,fixed=10000,"ApproximatedZipf(6000000,1.5)",16,"FixedValues(1000,1000,1000,500000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,5,360,100
xp2_4,xp2_lzipf_rml,10,15,3,100,0,6000000,100000000,NA,fixed=3000,NA,fixed=10000,"ApproximatedZipf(6000000,1.5)",16,"FixedValues(1000,1000,1000,500000)",adugois1/apache-cassandra-se:latest,xp2/cassandra-ds-rml.yaml,without-token-map.conf,cql.yaml,5,360,100
