id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp3_1,xp3_rampup,1,yes,yes,12,3,100,0,70000000,50000000,NA,"Uniform(1,70000000)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp3_2,xp3_uniform_fifo_sat,2,no,yes,12,3,100,0,NA,100000000,NA,"Uniform(1,70000000)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp3_3,xp3_uniform_fifo_nom,2,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp3_2,0.8","Uniform(1,70000000)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp3_4,xp3_uniform_multilevel_nom,2,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp3_2,0.8","Uniform(1,70000000)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-multilevel.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp3_5,xp3_zipf_fifo_sat,2,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(70000000,0.99)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp3_6,xp3_zipf_fifo_nom,2,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp3_2,0.8","ApproximatedZipf(70000000,0.99)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp3_7,xp3_zipf_multilevel_nom,2,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp3_2,0.8","ApproximatedZipf(70000000,0.99)",16,"Enumerated(""1024:95 262144:5"")",adugois1/apache-cassandra-se:latest,cassandra-ds-multilevel.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
