id,name,repeat,hosts,rf,read_ratio,write_ratio,keys,ops,duration,rampup_rate_limit,main_rate_limit,warmup_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,cycle_per_stride
xp1_1,xp1_low_byte_0,10,15,3,100,0,35000000,NA,600,fixed=10000,fixed=200000,fixed=10000,"ApproximatedZipf(35000000,0.9)",16,"FixedValues(1000,1000,1000,10000,10000,100000)",adugois1/apache-cassandra-se:latest,xp1/cassandra-byte-0.yaml,without-token-map.conf,cql.yaml,5,360,100
xp1_2,xp1_low_byte_1024,10,15,3,100,0,35000000,NA,600,fixed=10000,fixed=200000,fixed=10000,"ApproximatedZipf(35000000,0.9)",16,"FixedValues(1000,1000,1000,10000,10000,100000)",adugois1/apache-cassandra-se:latest,xp1/cassandra-byte-1024.yaml,without-token-map.conf,cql.yaml,5,360,100
xp1_3,xp1_high_byte_0,10,15,3,100,0,35000000,NA,600,fixed=10000,fixed=500000,fixed=10000,"ApproximatedZipf(35000000,0.9)",16,"FixedValues(1000,1000,1000,10000,10000,100000)",adugois1/apache-cassandra-se:latest,xp1/cassandra-byte-0.yaml,without-token-map.conf,cql.yaml,5,360,100
xp1_4,xp1_high_byte_1024,10,15,3,100,0,35000000,NA,600,fixed=10000,fixed=500000,fixed=10000,"ApproximatedZipf(35000000,0.9)",16,"FixedValues(1000,1000,1000,10000,10000,100000)",adugois1/apache-cassandra-se:latest,xp1/cassandra-byte-1024.yaml,without-token-map.conf,cql.yaml,5,360,100
