id,name,repeat,hosts,rf,read_ratio,write_ratio,keys,ops,duration,rampup_rate_limit,main_rate_limit,warmup_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,cycle_per_stride
xp3_1,xp3_szipf_ds,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,0.1)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-ds.yaml,without-token-map.conf,cql.yaml,5,360,100
xp3_2,xp3_szipf_pa,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,0.1)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-pa.yaml,without-token-map.conf,cql.yaml,5,360,100
xp3_3,xp3_szipf_c3,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,0.1)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-c3.yaml,without-token-map.conf,cql.yaml,5,360,100
xp3_4,xp3_lzipf_ds,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,1.5)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-ds.yaml,without-token-map.conf,cql.yaml,5,360,100
xp3_5,xp3_lzipf_pa,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,1.5)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-pa.yaml,without-token-map.conf,cql.yaml,5,360,100
xp3_5,xp3_lzipf_c3,10,15,3,100,0,600000000,100000000,NA,fixed=200000,NA,fixed=10000,"ApproximatedZipf(600000000,1.5)",16,FixedValue(1000),adugois1/apache-cassandra-se:latest,xp3/cassandra-c3.yaml,without-token-map.conf,cql.yaml,5,360,100
