id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
r3f1s1_1,r3f1s1_rampup,1,yes,no,6,3,NA,NA,380000000,NA,NA,NA,16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds.yaml,with-token-map.conf,cql.yaml,1,256,1000,fixed=100000
r3f1s1_2,r3f1s1_ds-sat,3,no,yes,6,3,50,50,NA,20000000,NA,"Uniform(1,380000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds.yaml,without-token-map.conf,cql.yaml,1,256,1000,NA
r3f1s1_3,r3f1s1_simple-sat,3,no,yes,6,3,50,50,NA,20000000,NA,"Uniform(1,380000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-simple.yaml,without-token-map.conf,cql.yaml,1,256,1000,NA
r3f1s1_4,r3f1s1_ds-nom,3,no,yes,6,3,50,50,NA,20000000,"infer=MeanRate,r3f1s1_2,0.8","Uniform(1,380000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds.yaml,without-token-map.conf,cql.yaml,1,256,1000,NA
r3f1s1_5,r3f1s1_simple-nom,3,no,yes,6,3,50,50,NA,20000000,"infer=MeanRate,r3f1s1_2,0.8","Uniform(1,380000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-simple.yaml,without-token-map.conf,cql.yaml,1,256,1000,NA
